cleaned_text,sentiment_scores,sentiment_labels
hero losing momentum come writer pick,0.53080636,neutral
boring,0.8980227,negative
back wish back,0.7464939,neutral
glad im holiday,0.8608901,positive
stupid bus early missed stupid thing missed bus finally got missed second,0.9710586,negative
problem appealing wide enough even though think may,0.62614775,neutral
clue,0.5323795,neutral
engaged muppet orlando realised oh god cant marry justin timberlake,0.84366214,negative
gosh soooo tired want go back sleep,0.76282257,negative
train sans guardian,0.8294443,neutral
made dc saturday afternoon hour air south full sleep since thurs,0.90093553,neutral
helluva lot,0.54754263,neutral
screwed confused dumb never felt bad wish bad none,0.84338385,negative
went today blood sugar level,0.8290748,neutral
make sad people give god chance,0.46935424,neutral
pretty awww sorry hear feel better soon,0.6102819,positive
sad,0.72834426,negative
awake nearly hour,0.8700189,neutral
like sonny,0.6880704,neutral
drunk,0.5901684,neutral
sooo miss internet say may open,0.56001323,negative
miss,0.48100737,neutral
get familiar twitter pretty coming back mean dont even see,0.5434733,neutral
love get,0.6714014,positive
hole favourite bought sale christmas even get exchange might try fixing,0.5745254,neutral
feeling poorly sorry ow stupid,0.9589659,negative
yes thanks reaveling world bro fuck life hahaha,0.6436837,negative
see anything stupid youtube location,0.71108586,negative
want mmmf except play supporting role would mind two guy huge cock,0.6516723,neutral
banned sims forum rest aww feel sticking chanel,0.55068666,neutral
treated latte appointment need wisdom teeth surgically removed,0.6864071,negative
oh mine ceramic ex abit le inside one double price n double duration,0.8524341,neutral
dear thankyou regular service burglar grateful new entry tone,0.575893,neutral
fightin name still run,0.68381274,neutral
sick today lot work,0.80674624,negative
trying find tech find entry level job also every job site spam,0.5561797,neutral
insomnia bitch,0.90597594,negative
threw fun,0.78822714,positive
work,0.5791137,neutral
really hungry sad throw breakfast bin,0.83357185,negative
oh mandy creed isnt,0.68670714,neutral
dont didnt mean break anyones,0.52383965,neutral
obama visiting istanbul therefore main road closed cause effect,0.5782865,neutral
lovely blazing bad work,0.39986238,neutral
omg girl woke reason doesnt matter cant fall back sleep got ta b maybe stay,0.69868505,neutral
tweet heard concert marburg radio hour,0.87323874,neutral
late night,0.65498364,neutral
getting snowing,0.75629187,neutral
yep,0.5567125,neutral
bathroom contractor thru quote incoming need bite bullet,0.64602655,neutral
going sydney,0.8630502,neutral
rescheduling sf trip coming weekend mid bad circumstance,0.55280405,negative
get blasted wisdom teeth need stop hate needle,0.9452307,negative
morning large coffee bath top today first appt load desk,0.72995764,neutral
hitting afterwards looking forward rewiring yet,0.6455439,positive
doesnt want go work lol,0.69995654,negative
sorry missed responding yesterday rochester far dark chocolate,0.5686579,negative
wan na come,0.6994657,neutral
cold buee,0.6205678,neutral
ate piece angel food cake another laffy taffy,0.51969886,neutral
driving back la quinta oddly,0.7652003,neutral
aaaaaaaaaah still cold least,0.7463336,negative
running low,0.56538296,neutral
shell gas lunch,0.76551956,neutral
ready sleep trouble sleeping,0.5591869,negative
burnt finger hot cup tea,0.8501651,neutral
time like want thing stay right someone come wreck,0.7068111,neutral
see counting,0.7655049,neutral
way go school today im way sick,0.9429708,negative
wikipedia gone see goverment fualt let hope donation something bring back,0.503112,neutral
seem get dissapointment haveing absolutly one notice sad must boring must,0.84604096,negative
reminds wash,0.74681497,neutral
feeling like dancing rain like rain stopped ohh watch flight conchords instead,0.66749257,neutral
got back funeral government,0.67414415,neutral
online tonight bummer music,0.71166223,negative
started getting mailshots aimed pensioner downhill,0.6752886,neutral
wishing could sneak watch star trek premiere,0.684785,neutral
hit elbow really hard door,0.7323751,neutral
cant wait c carter bak skewl hate gettin sick,0.67822105,negative
need get as wana go away bt nt sure cairo uk maybe bt may b able go earlier bt wont til,0.83209777,neutral
wow search epicfail see many entry widely depressed,0.8940205,negative
want cold,0.6128775,neutral
sock worn,0.6462841,neutral
tired sleep,0.5727799,negative
dropped car get exhaust replaced could without spending,0.53883016,neutral
school work working business law paper right wait till hopefully tomorrow,0.7166477,neutral
many assignment,0.6482218,neutral
still though site gone,0.6412219,neutral
got pause twilight nearly work,0.74527466,neutral
fav english u knw wht make sad even going name baby tamara,0.6215777,negative
anxiously awaiting june come soon enough graduation looking forward end break,0.93447614,positive
common chidambaram george bush,0.82615405,neutral
morning stuck registration nayyy,0.55627835,neutral
think pretty standard wherever find anywhere canberra yet,0.563752,neutral
home flu ahhh suxz well tired go sleep hour goodnites,0.5290326,neutral
first serial city,0.67849064,neutral
ive txt morning,0.79657227,neutral
got sorry understand ur last tweet,0.5295909,negative
common chidambaram george bush,0.82615405,neutral
feel like change picture think could part bff audrey,0.8444152,neutral
im allowed staying late make think,0.74970526,neutral
forehead starting feel like someone cut slice someone cut slice forehead today,0.63392544,negative
oh,0.5070511,neutral
thinking pay week go lol,0.750458,neutral
choice limited since blocked,0.5002749,negative
waiting slumming departure,0.74850696,negative
area nightclub making bewilldered uni student arrived poor folk like struggle,0.6480649,negative
uninstalled tried fresh app still obviously something bizarre setup,0.51639956,negative
even going back resolve,0.7217305,neutral
stupid show,0.972898,negative
still waiting missing baby,0.5202388,neutral
omg house ever,0.5818481,neutral
like xd lived eaten missy miss x,0.68939006,neutral
tooo im running,0.6965543,neutral
feel,0.6217434,neutral
leaving koh tao start journey back bangkok,0.9030509,neutral
set except watch huge membered feel like hat stand,0.640021,neutral
sure got load today,0.7380229,neutral
p broke fucking phone,0.9777459,negative
many people home town using irl connect,0.87834644,neutral
ritz lol ok got planned,0.6261995,positive
xx,0.5498384,neutral
need old miss hanging awkward,0.51379067,negative
amazes men like actually hope find someone someday love value,0.789584,positive
going school dt,0.70420563,neutral
maybe gone,0.6514662,neutral
guess counting sheep work hope get,0.81632316,neutral
need clean sensor spot removal several hundred picture,0.75032514,neutral
woken someone hammering stopped get back sleep,0.4918247,neutral
hangover,0.48808935,negative
stuck traffic,0.87300605,negative
haha thought would much complicated well ive got home got holiday x,0.48942056,positive
think tonsillitis,0.69247895,negative
would meant spending day heaven mom getting see,0.67711365,neutral
resulted soft top beaing soaked open dry,0.828446,neutral
golem finally got wight,0.77856946,neutral
time warcraft simple game group fan let u know u figure want,0.88764447,neutral
sure tell u truth long since seen ask daddy full custody lol,0.8029295,neutral
really wish could see eddie izzard tour damn stupid expensive cake,0.76944315,negative
sleep stressing jpc,0.61764467,negative
think im cant birthday oh,0.5315994,negative
seem right,0.57992303,neutral
confusing hour,0.8220512,negative
another long slow day ahead,0.54462606,negative
well didnt even consult see plan maybe,0.5340418,negative
lazy begun three short story last three never finished,0.74370337,negative
february,0.6067867,neutral
sorry say still air,0.63881123,neutral
holy thats,0.62663203,neutral
thinking going reinstall wow simply refuse update irritating time take forever,0.861506,negative
okie dokie tweoples long day city boooooooooooo good night lovely,0.95423204,positive
hoping fall asleep watching definitely national treasure,0.78383046,positive
think email domain blocked akismet,0.5853666,neutral
undergoing,0.63602626,neutral
haha would,0.6044903,positive
anytime plan get sick plan go,0.61733377,neutral
grey morning,0.4793822,positive
feeling ill sorry,0.90754193,negative
much mind trying write maybe get sleep really working,0.6905339,neutral
getting lot dentist time stressfull sore take nice easy rest,0.5179246,neutral
coke zero mobile site iphone,0.7903372,neutral
springsteen embarks world oz unworldly planet,0.78464967,neutral
today shopping malachi xx owww sore,0.59032094,negative
abu dhabi really nothing photograph one go,0.6117037,neutral
tell mortgage quote last going skint next,0.8332382,neutral
hoping posty delivers pink ticket,0.76086503,positive
sense blog coming bad leave like min xxx,0.706515,negative
house one big everything crammed bedroom room,0.7607353,neutral
liking back work morning,0.950162,positive
opened crisp upside hate,0.8465093,negative
feeling really really ill,0.9178831,negative
blazing row tantrum missed train standing platform feeling guilty,0.8464689,negative
hot,0.49494213,neutral
lol im love stupid dating coach make feel hair,0.47904223,positive
wa lovely anit show love,0.9263845,positive
worst dream usual nightmare worst part probably gon na come true,0.6777978,negative
pfff want go back bed feel horrible today,0.96876824,negative
also want easter break,0.5538591,neutral
sleep dunno,0.6066346,neutral
biking hard,0.7442402,neutral
morning really upset rabbit ran away last night postman woke early ilu,0.73762494,negative
drs early,0.63963205,neutral
man internet slow atm,0.8045462,negative
looking gray sun stolen,0.8372399,neutral
painful shoulder morning,0.7592254,negative
tired peace,0.6232344,neutral
say loud miss answer iphone help upgrade,0.5492849,neutral
heart abused many hurtful hate sappy kind hate,0.96490157,negative
work,0.5791137,neutral
landed funny foot morning jumping stair twisted quite sore,0.53562665,neutral
taxi way get bad traffic,0.8687975,negative
least bit,0.63707614,neutral
migraine boo,0.529315,neutral
strong urge draw illustration novel,0.5561919,neutral
prodigy ace last managed hour sleep last feeling today cool day,0.95113754,positive
realised time might actually final,0.8243321,neutral
horrible headache day nose feeling,0.96302706,negative
found use window browse firewall software automatically turn pc,0.84192276,neutral
back work long weekend definitely,0.70713687,neutral
yoghurt exploded bag way everything smell like toffee,0.7250962,negative
heart abused many hurtful lie hate sappy kind hate gold,0.9735068,negative
ia go school today,0.7543892,neutral
im lonely keep california,0.51759607,negative
genting gohtong jaya using,0.7384523,neutral
yeah got reach class time paper hows eco treating,0.8491973,neutral
isliye call nahi kiya baad ki ab tu movie dekh raha hoga,0.84809065,neutral
gloomy,0.57789874,negative
gon na take find file argh,0.7366919,neutral
sad march break,0.6893204,negative
awww u seriously cutest dog sorry hope u get xoxo,0.94486064,positive
qr veolia bus train early train late bus one hour later,0.80740565,neutral
sound nah going melbourne couple day unfortunately,0.5480505,negative
tonsilitis birthday,0.7477547,neutral
greeeeat ate hard work away,0.8427813,negative
message get notice try hard communicate wif u,0.7824624,neutral
observe report premiering chinese theater driving slowly saw reporter red star,0.88506156,neutral
tried got odbc driver,0.81674135,neutral
like didnt,0.54449487,neutral
plan scared fear teh boke,0.5778261,neutral
heard new fell heard new fell,0.7435795,neutral
bit weather last coupla day workout low,0.86519456,neutral
nice day chibi stuck home waiting parcel,0.4166113,neutral
missed something,0.61428684,negative
awwww tomorrow still watch show even though guy persecute far,0.5395033,neutral
holiday still bloody insist waking school time,0.644655,negative
finger sleep even vicoden alcohol,0.63537407,neutral
fell want im almost done need go bathroom,0.7384186,neutral
missing roo totally ready stupid,0.7033758,negative
end back read still error cant add anything library cant update,0.8603629,negative
feel pain,0.6687907,negative
need post,0.702985,neutral
miss,0.48100737,neutral
penalty scored still got beat,0.52953756,neutral
morning,0.4974545,neutral
nobody like,0.5590278,negative
okay bb anyone know get info night club wan na rent one next year please invite yall,0.7620745,neutral
got combined ear toothache want rip face,0.7931871,negative
pimms,0.57133496,neutral
think like saw ride thorpe tv ad make feel goodness know ride would,0.67707217,neutral
joined twitter doesnt know anyone,0.54594153,neutral
rearanging database,0.76774615,neutral
wishing loved,0.70328194,positive
hill episode sad love name,0.50806177,neutral
watching dj emir battle computer supreme ruler think computer winning,0.74465877,neutral
suddenly disappeared spotify,0.64032567,neutral
kid crack still full bleh starting,0.73233986,neutral
naar racket wahey,0.70548195,neutral
nan,0.52818847,neutral
reason know st peter call name,0.7939473,neutral
think spoke soon big black rain cloud charging towards town,0.9263713,neutral
didnt end seeing ppl pain,0.66934973,negative
nan,0.52818847,neutral
isnt way could update twitter cellphone,0.71837664,neutral
leaving hoping input avatar rp thread torn,0.73326254,neutral
thats damn sad hope thing fine gud,0.8081225,negative
hopefully,0.6158241,positive
enabled activesync google apps sync contact calendar mail yet,0.8646361,neutral
loveeee hurt,0.41757703,negative
hate away cant sleep alone anymore,0.79880214,negative
new alpha even complex last version long small dev team,0.70175177,neutral
currently watching miss,0.828628,neutral
need hug,0.6575835,neutral
back office still day another long,0.62885106,neutral
lol yea thought tht thnx rod one sitting orange fav color kno use,0.819245,neutral
feeling almost everybody say joke,0.54223967,neutral
waiting phone call may mean actually sleep,0.7477344,neutral
hate,0.7338518,negative
guess graphic art make,0.8083886,neutral
may hold getting job first might better want,0.66424775,neutral
pic bucket probably post tomorrow mean find cable,0.90048206,neutral
guy seeing car gon na kill,0.4892936,negative
controlling life possible uni start boohoo,0.6498539,positive
major head suck,0.9463472,negative
point may need gma gon na come,0.81707466,neutral
yes got ripped shop,0.68065584,neutral
slept still feel like maybe bad ill take time,0.6715907,negative
little sick,0.83921856,negative
already need especially since school hour,0.7580962,neutral
nan,0.52818847,neutral
bad need comfort drink sipping mocha frap starbucks tired,0.57661396,neutral
head hurt thinking annnd tomorrow woe,0.9483887,negative
realised work bunch,0.7334787,neutral
hi dublin college,0.8459351,neutral
limbo party still supple enough get,0.5272844,positive
horny,0.67810357,negative
im hungryyyy need sushi,0.67781585,neutral
really wish bought day went miss photographing little dslr bulky,0.5984903,negative
think end going alone see,0.6310146,neutral
cause rsi rsi guide always tell use two hand ah wish keep posted,0.8569418,neutral
photo,0.6403192,neutral
oooooh love sorry help find probably wont able find,0.41138148,neutral
sucked sewage bath xp poor owen bear drama,0.96187866,negative
borning thats cold virus bunged eye,0.8473104,negative
one day really need go school well,0.4965317,positive
longer google,0.7278412,neutral
stopped eating sleeping im worried precious little,0.84985644,negative
finished making chocolate foot really,0.8236653,neutral
laptop fucked system using lil,0.9334079,negative
freshly squeezed showed video,0.8586996,neutral
ok stayed watch hero admin stuff wp learned new wp stuff finally happy layout,0.8939709,positive
loved mari song,0.97317916,positive
devastated spiegeltent coming edinburgh festival year,0.7191112,neutral
ruined everything forgive,0.5456562,negative
think use twitter offend people unintentionally,0.756794,negative
mitea missing,0.5288818,neutral
day leave work except long list diy job,0.74688786,neutral
heading work hour,0.65724593,neutral
gnite twitter day night class till,0.91150975,neutral
going priceline lost list,0.6298791,neutral
miss kitty cat,0.7444921,neutral
midwife blood de frikking,0.911285,negative
missing unwell still phoned office going back seems empty,0.83455616,negative
oh man hoping go school happy tomorrow else good ahhh,0.97418547,positive
cant bothered gwtting dressed x,0.44990483,negative
tired flowchart ken,0.56008476,neutral
well lived texas past think explains si habla,0.88011146,neutral
completely addicted like bad,0.6977571,negative
wanting sunshine lay pool,0.5995157,neutral
still trying finish mix,0.80128217,neutral
fucken man tiring night hope get got bout hill dang nabbit,0.9452181,negative
sickness making impossible hot,0.79352075,negative
wish,0.67199224,neutral
wish keep door open people may need,0.76575613,neutral
nan,0.52818847,neutral
still sore come put tomorrow,0.6324436,neutral
shutting twitter,0.5575891,negative
friendfeed beta appear like twitter account,0.6816258,neutral
work wasted two hour silly one system slow,0.9525443,negative
find better xoxo germany already morning,0.740072,positive
know really bad spill,0.8155025,negative
wondering following keep going guess got ta try,0.77683604,neutral
boycotting fashion,0.65099216,negative
face mammoth task rest many thing little time,0.73515713,neutral
sy pn mau jln sm kau,0.7502975,neutral
annoying half want,0.8883398,negative
twitter appears eaten naughty twitter,0.6027405,negative
university hamilton hw drinking orange soda,0.73131156,neutral
masha alone sad,0.7623165,negative
people called red blinded,0.5964167,neutral
omg believe want freaking fb spoiled could,0.48518556,neutral
watching interesting wish,0.66503006,positive
struggling regarding fact dance day,0.53870016,neutral
ummm wait video,0.7380383,neutral
ow ow tummy much never learn,0.74174434,negative
anyone else trouble accessing click link nothing access,0.6931362,negative
feel yucky sick morning,0.96565807,negative
rang see progress someone else offered reckon get,0.7682764,neutral
feeling terribly sick right,0.94202286,negative
wake ff go sleep guess revision,0.8391894,neutral
wan na see twilight love oh guess,0.81494564,neutral
baby girl sandra prayer r cantu,0.8340548,neutral
like know never,0.49392328,neutral
away tubingen away much,0.66615176,neutral
completing report meeting interviewing people busy bee today blurrgghh,0.86829907,neutral
problem picture,0.6284105,neutral
need saw tweet mcintec net lol come mibbit slow suck,0.7714289,negative
well super adventurous day luke gone home let u morn loss im continue playing sims,0.8167431,positive
really want puppy,0.6928597,positive
undergoing music tweet shaking already,0.6940753,neutral
cant suck,0.692452,negative
dream shoe,0.67803574,neutral
travoradio blipfm,0.80576575,neutral
word stomach fucked suck,0.9737205,negative
hey playing gaydays every year know night best,0.51328987,positive
money isnt suppose depress,0.5549654,neutral
im im really really missing best friend,0.6551158,negative
pet course last time ok theory good tool,0.8225285,positive
achilles heel spending x hmv,0.8940856,neutral
appletv died dreading diagnosis,0.83759815,negative
looking forward class work,0.8685661,positive
day negotiating wth insurer spilling beer laptop last probably,0.60191476,neutral
nobody talking,0.554937,neutral
woke,0.6250132,neutral
bkk protest maybe ho chi minn,0.87356555,neutral
hella breaking,0.6413522,neutral
probably,0.56753963,neutral
poorly sick,0.9425082,negative
really see new available dvd,0.6363591,neutral
goodnight since follower nobody see say,0.6979189,neutral
forgot shoot loose end,0.5263508,negative
amazon downloads much cheer,0.8448155,positive
hope feel better soon ill fun,0.9533929,positive
finally home shitty day work,0.6165497,negative
maybe nocturnal,0.82643616,neutral
told friend constantly circle globe flight uk downunder worst,0.73741585,negative
queue ticket look school holiday silver mine winjas fear closed,0.8050465,neutral
oh see ot available,0.73581994,neutral
tryin take,0.7165718,neutral
update itunes new version lost new software update killed,0.5111817,neutral
wondering sunshine went,0.8416783,neutral
got nappy wet split back going nice baby bath back nappy go,0.5598699,positive
anger getting bigger every minute go got uglycomments one,0.7400528,negative
today day government kill u,0.89816356,negative
talk aaliyah love miss wife say thank mag sent u,0.83809894,positive
awwwww ur gunna make miss blessed much love,0.76090133,positive
still got ta always,0.58953637,neutral
finished everything need work hour nothing coming,0.7214443,neutral
wish got booooo,0.71519685,neutral
good believe last week london back marketingworld london,0.92074406,positive
im boring really dont understand use,0.97368705,negative
thank,0.5854312,neutral
nothing contribute discussion angel airwave v blink,0.7592483,neutral
want go,0.658008,neutral
remembered forgotten best friend birthday,0.6281422,neutral
ellie sound poor thing,0.91731286,negative
miss,0.48100737,neutral
writing article converter take long time,0.5952652,neutral
good luck enduring tiring,0.45764244,neutral
start epic drive glasgow alton look like rainy day,0.7748807,neutral
work really,0.74760574,neutral
maya spayed nervous,0.707251,neutral
thats im folding getting tweetie iphone taking toooo long need grouping,0.57199556,negative
tired,0.6294643,negative
mac,0.47145563,neutral
going long funeral work,0.5795754,neutral
gon na great member team,0.89606476,positive
woke feel like rubbish chill indoors play xbox cold,0.77270514,negative
oh suck mike work saturday andrew got friday till wednesday bugger lol,0.79331386,negative
accutely aware bob ever know,0.7546027,neutral
wake grey need sun,0.8020572,neutral
ah ok see stop da anything claim,0.58099437,neutral
trying fine friend luck far,0.65236723,positive
xbox finally given fight,0.7773012,neutral
working senior paper,0.87160724,neutral
ohhh hate civics,0.9736588,negative
havent update bin stuck gf non im bk class learnin,0.69846976,neutral
driving london made wrong turn stuck extra minute logjam traffic,0.78847444,negative
nothing beat damp feeling get pulling wet pair knicks,0.5247853,neutral
yay work todayyy working rest week lol,0.8149644,positive
dancing want write,0.809389,neutral
like,0.55881846,neutral
last season hill one oneself,0.8524675,neutral
havent update bin stuck gf im bk class learnin,0.67913806,neutral
haaaaa want mac cheese hahahaha still got one u left guess im making today oo lol,0.77592176,positive
back dollar fill ups pump,0.81306636,neutral
feel commuting packed train hideous,0.9099274,negative
bad wait another month sell,0.5912878,negative
miss glass house thankfully pretty much every moment uploaded onto,0.5119759,neutral
future used,0.7143483,neutral
love iphone hate fact tjat need charge often,0.43236744,positive
plug train doesnt work,0.85421664,negative
solen var inge varm,0.68160105,neutral
waiting cisco ip phone load,0.86841506,neutral
listen jonas brother love band come germany see,0.636946,neutral
stoped talking lol,0.61914825,neutral
even irritated find patch even get released properly whats point letting,0.7789533,negative
diff gahh rural woga woga bathurst best advertising,0.7215875,neutral
tried install work,0.73007584,neutral
oh forgot article mail got link electronic,0.6861619,neutral
architectural modeling change going smooth intuos looking get one yet,0.63487816,neutral
promised leave hope break,0.7756516,neutral
flu ouch,0.7310202,negative
scheduled productive hr still insomia gotten,0.7928238,neutral
stephen miss sooo,0.7585703,neutral
gon na lay count breath fall cuddle day need someone cuddle,0.8210247,neutral
dont wan na go chemistry dont wan na meet thats main,0.55223876,neutral
going,0.61255556,neutral
ya heading get messy drunk together,0.47457063,neutral
gyratory system show vibe bar due drummer,0.90688986,neutral
operated get ac ticket price hyper crazy expensive,0.7090643,negative
cold,0.518225,neutral
going since eric hate wont run around,0.4863942,neutral
day one ivf injection let fun begin,0.8127836,positive
cant commit time play time isnt everyone el,0.61078763,neutral
started playing new site want mess easter one paranoid,0.79169965,neutral
hope sore throat clear break illness holiday,0.5176519,neutral
bit scratchy throat hope go away thursday weekend,0.5478349,neutral
ugh hate haviinq dis sleepiinq problemsz,0.9447553,negative
wanted tweet silly canadian service home sad vacation,0.47114444,negative
security sydney spirit,0.81163883,neutral
possible add another stream option us regular stream noagenda,0.87078834,neutral
nawww fly australia boring,0.9365024,negative
habbit misspelling,0.5175336,neutral
got back picking house,0.72775984,neutral
understand nothing twitter,0.6812945,negative
morning real rough,0.68273765,negative
nan,0.52818847,neutral
sun got ta get work,0.6560298,neutral
think even denial watch,0.7924439,neutral
turn warning italy,0.7507435,neutral
creepin may cancel trip sydney lol,0.6518861,neutral
going work,0.6268163,neutral
snowing,0.7341581,neutral
im bored finger hurt playing guitar day,0.9188861,negative
set video channel podcast checked listed,0.9135431,neutral
meeting hour explain version oaw heap unbundled emf tool,0.77377045,neutral
miss room place right take,0.80398464,neutral
carter kentucky estblshd thier first public library need thier entire budget,0.8323035,neutral
day age doctor take long result,0.8373973,neutral
train late gon na walk hall shame,0.5322593,neutral
keep deleting number,0.5128825,neutral
haha know thinking vet science sydney cept guy last hostpital,0.8213098,neutral
miss wish beach look,0.6973321,neutral
umm,0.5851351,neutral
well going bed wish could sleep tomorrow,0.63952035,neutral
morning get bed msn alex wanted play dead space bed,0.8404697,neutral
good hospital dad spend basically day waiting room two minute app fun fun,0.9217891,positive
sleep brother home girlfriend baby sleep room,0.8105227,neutral
firefox e lanati hey crash hey,0.65172887,neutral
want polaroid,0.6733397,neutral
hospital jaw breaking,0.525259,negative
wish iphone would let thing would much easier,0.5681242,positive
tried install work,0.73007584,neutral
want want go shopping,0.5081281,positive
saw girl blog went wayyyy feel need,0.6409513,neutral
drafthouse surprise world premiere screening new star trek last,0.6858927,neutral
ouch clearfix method,0.82751554,neutral
loving fact lil daughter go back,0.5019557,neutral
nasty scraping noise back car,0.49942073,neutral
give segfault,0.5381934,negative
cried montage flashback make cry every,0.48305157,neutral
bed trying helplessly breathe nose without coming across itchy need sneeze allergy suck many,0.93910533,negative
sun set way early,0.7928564,neutral
hello hope better tweet hour later,0.8970538,positive
want helllza,0.6301121,neutral
yeah brutal least june get onto another plane canada lol,0.6087338,neutral
first set management account one,0.76141566,neutral
thats already plan,0.73336506,neutral
see thats never go bed cause u sleep u miss slept missed unhappy,0.82191014,negative
struggling type still suffering overload fest,0.9050677,negative
episode house cuddy hook apo meeting fault,0.6760459,neutral
waiting love get getting sad hot cross bun next,0.53015554,neutral
aww thanks picking scotland yesterday evening,0.8342326,positive
kill one favourite dawww,0.7009824,neutral
site load rising increased capacity going still,0.7766467,neutral
multiple book although bad habit finishing book,0.532946,neutral
nan,0.52818847,neutral
nan,0.52818847,neutral
woke morning get sleep till,0.79358256,neutral
coffee carrot cake still lost idea art,0.53842735,neutral
coming cobi going lol misser,0.6944652,neutral
sound class kill get home,0.6682079,neutral
want use dance pero di compatible sa tv yung,0.83982843,neutral
im coffee get winding lol good,0.91946566,positive
want play resident evil school work getting way,0.67585564,neutral
im still reading article different little dull twitter tonight music,0.5525176,neutral
hope come,0.5696313,neutral
company work shuts joblessville,0.62057793,negative
trying look big boy hard day,0.5312467,neutral
need deep pissy tossing turning moan moan,0.76613927,negative
flat today didnt get everythin done endured massive fever still finish essay work tomory day,0.7462259,negative
feeling ill today,0.9384025,negative
think,0.6677061,neutral
hate,0.7338518,negative
nick love blame oven may blame fact shed load wine watching top,0.6072284,neutral
photoshoot sure look hot come back brighton say hellooo load xxxxxx,0.9367287,positive
dentist,0.654812,neutral
aww yet another party last miss new anyone anything,0.55529416,neutral
think always get,0.6586326,neutral
girl anyone seen,0.7459179,neutral
really feeling twitter,0.6134808,neutral
meeting morning today make feel better though finish tomorrow next wed make hate,0.56442845,positive
zombie mode kid ill kept till work,0.8371549,neutral
say,0.55751574,neutral
missin needed talk today,0.715092,neutral
without sad part,0.59929144,neutral
got lot doubt going get chance book time family easter,0.5662009,neutral
apply international driver licence go nurburgring must take,0.9010791,neutral
email,0.62003744,neutral
hey tell one jealous,0.5879791,neutral
gym work later,0.86382455,neutral
sorry hear hope get listening podcast debate spoke,0.59055924,neutral
still sad marley damn,0.909304,negative
lucky dreaming crispy bacon volunteered go get one,0.46192282,neutral
think saw magic sunday salford saw hull fc come onto pitch,0.8646199,neutral
usual breakie starbucks heading morning weather looking shite stage,0.7745219,negative
dont sell often,0.62326366,neutral
know johnson baby use animal like cute bunny test,0.70021266,neutral
sleep bc drank diet coke bc wake,0.71228343,neutral
one triop one go,0.69193536,neutral
need learn,0.5785441,neutral
darn woke great idea lime article forgot,0.5279331,positive
thinking short flip flop may bad idea,0.86012006,negative
u understand say think u need change opinion good lol,0.5291469,neutral
waiting parcel arriving,0.7941338,neutral
tried go cuban buffet told u closed monday sad,0.66961366,negative
doc morning work,0.7635379,neutral
stayed home,0.64842665,neutral
bit lonely seem many friend actually use oh,0.6866834,neutral
oh laundry powder allergic since jean usually fitted make worse,0.88861865,negative
need inspiration hit kitchen tonight,0.74240816,neutral
accidentally listened new sugababes album playing four girl aloud hit sequentially purge memory,0.7687565,neutral
going walk dog shower sad yankee lost first game monday boooo,0.81633717,negative
hey sorry hear bout ur doggie hope come home would help u look far,0.56103,neutral
upset find flying spaghetti twitter follow,0.6096383,negative
anyone enjoy pretty film,0.9006028,positive
feel like comming hope cold,0.56840986,neutral
sleeping hour counting get kid school,0.63098204,neutral
missed wednesday day,0.73280525,negative
missed train wifi blackberry battery going die soon good start day,0.5809348,negative
said time depart flip phone,0.79129267,neutral
hermes packetdienst suck,0.8413777,negative
much fun last paying going go fry egg,0.9141142,positive
squirrel today must,0.7706794,neutral
yeah ploughed around last nothing happening,0.73707,neutral
daughter come home last huge would poor,0.6098952,neutral
bought car impending fatherhood affecting plan,0.82324046,neutral
even roll bln still way behind rest world speed,0.6112538,neutral
dan grabbed yardhouse pirate disappointed,0.59004015,negative
work early team meeting forgot lunch,0.6087363,neutral
worried cutting hour start every except may give morning starbucks,0.6411487,neutral
sorry hear bike,0.58905506,negative
m xp im afriad laptop old think bit messed,0.6085291,negative
going vespa need going anywhere,0.82682115,neutral
fast remains un broken,0.7217572,neutral
year since mark speight died year go,0.7218444,neutral
exactly city burn worry city third likely final new album review,0.88303655,neutral
like malarky seeing friend seen month stupid work,0.84427106,negative
aw new shirt got aerie today wear small,0.7395292,neutral
third budget yr ireland want tax text pray poet,0.86796975,neutral
finished second research paper kill test,0.74611974,neutral
unfortunately pack,0.8043474,negative
probably scotland next,0.8524905,neutral
panic distracting tv hope go away soon,0.48412627,neutral
still unable dm maybe twitter bug,0.7447502,negative
project going drain legal issue seem dealt fatal,0.80177397,negative
heat grazia probably delivered next door,0.8594948,neutral
missing n ol frend thinking bout rite,0.8033184,neutral
quit smoking dont want look old cant breath haha,0.7905183,negative
jus woke wishing woke sumwer lol,0.7686151,neutral
school wish tourny,0.79792523,neutral
mate time gettin gon na able hang around late bit comin support fo sho,0.8579694,neutral
make hard work small business,0.5940933,neutral
really coughing sore,0.7319038,negative
got,0.56824553,neutral
got brainbone daily question,0.6031722,neutral
wishing,0.7317802,neutral
normally go pumpkin bit skint minute,0.78113276,neutral
thank feel sad hope give nice life til end,0.42876816,positive
yeah got ta unplug use one hustle buck new one,0.7574197,neutral
cant sleep need cuddle,0.6707924,negative
yes much theory getting much solution coming,0.53307927,positive
going school twenty looking forward meeting angry teacher,0.56901914,positive
wayy early,0.6085904,neutral
attack noooo,0.61176777,negative
need hug,0.6575835,neutral
know site play game never get past second footpath frogger,0.52930444,negative
playing killzone demo,0.83076066,neutral
never talk yet talk waa waaa waaaaaaaa lol love courtney,0.9545506,positive
unfortunately date clashed important long standing family got,0.55542415,neutral
